0	173.0000	original lat/lon values
10000000	1600000	false northing/easting values
STREET	NORTHING	EASTING	HOUSE #
			
WARING TAYLOR ST	5428380.24	1748870.63	 
WARING TAYLOR ST	5428365.15	1748863.89	 
WARING TAYLOR ST	5428388.06	1748853.91	 
WARING TAYLOR ST	5428373.64	1748846.09	 
WARING TAYLOR ST	5428406.9	1748806.66	30
WARING TAYLOR ST	5428403.84	1748779.23	30
WARING TAYLOR ST	5428415.97	1748753.61	 
WARING TAYLOR ST	5428429.99	1748757.12	46
WATERLOO QUAY-EAST	5428600.15	1749077.09	 
WATERLOO QUAY-EAST	5428445.22	1749004.86	 
WEBB ST	5426724.33	1748343.31	85
WGTN RAILWAY STN	5428687.77	1749040.74	 
WGTN RAILWAY STN	5428691.5	1749042.83	 
WGTN RAILWAY STN	5428699.2	1749067.19	 
WGTN RAILWAY STN	5428696.07	1749069.89	 
WGTN RAILWAY STN	5428682.04	1749087.95	 
WGTN RAILWAY STN	5428680.39	1749091.67	 
WGTN RAILWAY STN	5428672.02	1749111.36	 
WGTN RAILWAY STN	5428642.53	1749103	 
WGTN RAILWAY STN	5428641.64	1749100.31	 
WHITMORE ST	5428518.51	1748943	 
WHITMORE ST	5428438.88	1748964.1	 
WILLESTON ST	5427880.61	1748816.27	15
WILLESTON ST	5427899.38	1748800.47	22
WILLESTON ST	5427922.16	1748750.39	22
WILLIS ST	5427913.5	1748742.54	 
WILLIS ST	5427899.78	1748723.64	8
WILLIS ST	5427847.4	1748696.86	24
WILLIS ST	5427838.48	1748708.43	29
WILLIS ST	5427788.09	1748686.58	47
WILLIS ST	5427777.93	1748682.4	57
WILLIS ST	5427777.52	1748666.87	54
WILLIS ST	5427757.92	1748660.07	68
WILLIS ST	5427744.3	1748666.99	69
WILLIS ST	5427701.26	1748631.19	88
WILLIS ST	5427690.63	1748644.21	75
WILLIS ST	5427642.71	1748622.66	103
WILLIS ST	5427617.24	1748594.39	124
WILLIS ST	5427594.23	1748604.38	 
WILLIS ST	5427587.95	1748599.11	109
WILLIS ST	5427562.36	1748584.15	109
WILLIS ST	5427506.25	1748561.81	149
WILLIS ST	5427457.97	1748541.41	169
WILLIS ST	5427423.23	1748522.32	171
WILLIS ST	5427380.02	1748487.55	178
WILLIS ST	5427317.56	1748473.35	203
WILLIS ST	5427297.99	1748445.18	192
WILLIS ST	5427171.42	1748392.97	 
WILLIS ST	5427072.95	1748349.19	266
WOODWARD ST	5428405.99	1748707.26	188
YORK ST	5427162.07	1748918.59	63
